id	title	description	google_product_category	product_type	link	image_link	additional_image_link	condition	availability	availability_date	price	brand	mpn	shipping(price)
1018LNWHT	Frey Sofa in  White Linen	"With its fresh lines and rounded off seat and back cushions, the Frey sofa knows about the ‰ÛÏcool factor.‰Û  It‰Ûªs modern, it‰Ûªs classic, it‰Ûªs exactly what it wants to be."	Furniture > Sofas	Furniture > Sofas	http://www.capsulehome.com/frey-sofa-in-white-linen.html	http://www.capsulehome.com/media/catalog/product/1/0/1018LNWHT-content-w.jpg.jpg		new	in stock		1299	VOLO	1018LNWHT	0.00 USD
101FTGRY	Hathaway Armchair in Grey Tweed	"Classically, modern lines with low rolled arms and tufted back detailing, the Hathaway was inspired by the timeless style of English drawing rooms.  Elegant and gentle piping and solid hardwood feet details makes the Hathaway perfect for any room.  "	"Furniture > Chairs > Arm Chairs, Recliners & Sleeper Chairs > Arm Chairs"	"Furniture > Chairs > Arm Chairs, Recliners & Sleeper Chairs > Arm Chairs"	http://www.capsulehome.com/hathaway-armchair-240.html	http://www.capsulehome.com/media/catalog/product/h/a/hathawayarmchair_front_gray_content_w.jpg		new	in stock		599	VOLO	101FTGRY	0.00 USD
101FWLG	Hathaway Armchair Light Grey	"Classically, modern lines with low rolled arms and tufted back detailing, the Hathaway was inspired by the timeless style of English drawing rooms.  Elegant and gentle piping and solid hardwood feet details makes the Hathaway perfect for any room.  "	"Furniture > Chairs > Arm Chairs, Recliners & Sleeper Chairs > Arm Chairs"	"Furniture > Chairs > Arm Chairs, Recliners & Sleeper Chairs > Arm Chairs"	http://www.capsulehome.com/hathaway-armchair.html	http://www.capsulehome.com/media/catalog/product/h/a/hathaway_armchair_front_light_grey_l.jpg		new	in stock		599	VOLO	101FWLG	0.00 USD
101LNOAT	Hathway Armchair in Oatmeal Linen	"Classically, modern lines with low rolled arms and tufted back detailing, the Hathaway was inspired by the timeless style of English drawing rooms.  Elegant and gentle piping and solid hardwood feet details makes the Hathaway perfect for any room.  "	"Furniture > Chairs > Arm Chairs, Recliners & Sleeper Chairs > Arm Chairs"	"Furniture > Chairs > Arm Chairs, Recliners & Sleeper Chairs > Arm Chairs"	http://www.capsulehome.com/hathaway-armchair-oatmeal-linen.html	http://www.capsulehome.com/media/catalog/product/h/a/hathawayarmchair_front_oatmea_content_w.jpg		new	in stock		599	VOLO	101LNOAT	0.00 USD
102FTGRY	Hathaway Sofa in Grey Tweed	"Classically, modern lines with low rolled arms and tufted back detailing, the Hathaway was inspired by the timeless style of English drawing rooms.  Elegant and gentle piping and solid hardwood feet details makes the Hathaway perfect for any room.  "	Furniture > Sofas	Furniture > Sofas	http://www.capsulehome.com/hathaway-sofa-3-seater-gray-tweed.html	http://www.capsulehome.com/media/catalog/product/h/a/hathawaysofa_front_gray_content.jpg		new	in stock		899	VOLO	102FTGRY	0.00 USD
102FWLG	Hathaway Sofa in Light Grey	"Classically, modern lines with low rolled arms and tufted back detailing, the Hathaway was inspired by the timeless style of English drawing rooms.  Elegant and gentle piping and solid hardwood feet details makes the Hathaway perfect for any room.  "	Furniture > Sofas	Furniture > Sofas	http://www.capsulehome.com/hathaway-3-seater-sofa-light-gray.html	http://www.capsulehome.com/media/catalog/product/h/a/hathaway_sofa_fornt_light_grey_l.jpg		new	in stock		899	VOLO	102FWLG	0.00 USD
102LNOAT	Hathaway Sofa in Oatmeal Linen	"Classically, modern lines with low rolled arms and tufted back detailing, the Hathaway was inspired by the timeless style of English drawing rooms.  Elegant and gentle piping and solid hardwood feet details makes the Hathaway perfect for any room.  "	Furniture > Sofas	Furniture > Sofas	http://www.capsulehome.com/hathaway-3-seater-sofa-oatmeal-linen.html	http://www.capsulehome.com/media/catalog/product/h/a/hathawaysofa_angle_oatmeal_content.jpg		new	in stock		899	VOLO	102LNOAT	0.00 USD
103FTGRY	Cameron Sofa in Grey Tweed	"Our take on casual, relaxed California style, the Cameron is perfect for cat naps or movie nights at home.  Elegant, crisp tapered arm rests and two included cushions complete the look."	Furniture > Sofas	Furniture > Sofas	http://www.capsulehome.com/cameron-sofa-gray-tweed.html	http://www.capsulehome.com/media/catalog/product/c/a/carmeron_sofa_grey_front.jpg		new	in stock		999	VOLO	103FTGRY	0.00 USD
103FWLG	Cameron Sofa in Light Grey	"Our take on casual, relaxed California style, the Cameron is perfect for cat naps or movie nights at home.  Elegant, crisp tapered arm rests and two included cushions complete the look."	Furniture > Sofas	Furniture > Sofas	http://www.capsulehome.com/cameron-sofa-light-gray.html	http://www.capsulehome.com/media/catalog/product/c/a/carmeron_sofa_light_grey_front.jpg		new	in stock		999	VOLO	103FWLG	0.00 USD
103LNCH	Cameron Sofa in Charcoal Blue Linen	"Our take on casual, relaxed California style, the Cameron is perfect for cat naps or movie nights at home.  Elegant, crisp tapered arm rests and two included cushions complete the look."	Furniture > Sofas	Furniture > Sofas	http://www.capsulehome.com/cameron-sofa-charcoal-blue-linen.html	http://www.capsulehome.com/media/catalog/product/1/0/103LNCH-content-w.jpg.jpg		new	in stock		999	VOLO	103LNCH	0.00 USD
103LNOAT	Cameron Sofa in Oatmeal Linen	"Our take on casual, relaxed California style, the Cameron is perfect for cat naps or movie nights at home.  Elegant, crisp tapered arm rests and two included cushions complete the look."	Furniture > Sofas	Furniture > Sofas	http://www.capsulehome.com/cameron-sofa-oatmeal-linen.html	http://www.capsulehome.com/media/catalog/product/c/a/cameron_sofa_front_oatmeal_l5.jpg		new	in stock		999	VOLO	103LNOAT	0.00 USD
